run event track particle energy deposit x y z t_i t_f volume
0 0 154 phononL 0 0 21.8825 2.60679 -0.5 26083.8 26259.7 World
0 0 157 phononTF 0 0 -25.0768 -3.03864 0.5 30916.2 31001.8 feed2
0 0 156 phononL 0.00342043 0 -18.2849 23.7242 -0.5 31583.2 31725.2 World
0 0 165 phononL 0 0 4.77088 -5.85904 0.5 7939.94 8088.17 kid_ind49
0 0 164 phononTS 0 0 3.39331 -2.4866 0.5 6737.29 7010.61 World
0 0 162 phononL 0.0017804 0 26.7769 11.3677 0.5 31868.8 32025.3 World
0 0 167 phononTS 0 0 1.86561 2.03242 -0.5 3664.31 3686.65 World
0 0 171 phononL 0.0026777 0 28.1425 18.4464 0.5 52625.9 52782.1 World
0 0 170 phononTS 0 0 11.2017 33.5758 -0.5 30892 31103.9 World
0 0 168 phononL 0 0 2.48212 3.91742 -0.5 9027.85 9161.73 World
0 0 175 phononL 0.00435339 0 34.9364 -14.1388 0.5 46774.5 46798.1 World
0 0 174 phononTF 0 0 4.15253 22.7555 0.5 13199.7 13263.5 feed_kid_upper71
0 0 177 phononTS 0.00447263 0 -0.00514715 17.3226 0.5 37673.9 37848.3 World
0 0 176 phononTS 0 0 -4.54086 -3.80004 0.5 2258.62 3026.24 World
0 0 187 phononTS 0 0 -13.7209 -11.9317 -0.5 29018.3 29204.3 World
0 0 186 phononTF 0.00236088 0 -17.3694 -15.6377 -0.5 44925.5 45159.8 World
0 0 189 phononTF 0 0 -20.6817 -32.4733 0.465798 12825.5 12894.2 World
0 0 191 phononL 0 0 -9.74508 -7.3414 0.5 25833.3 25967.2 World
0 0 190 phononTS 0 0 -37.8202 -7.20304 0.477137 50438.1 50448.1 World
0 0 193 phononTS 0 0 -25.9276 -3.8979 -0.5 53921.7 54221.7 World
0 0 192 phononTF 0 0 30.0325 -2.6315 -0.5 55958.1 55959.1 World
0 0 197 phononTS 0 0 0.392882 -5.90412 0.5 6189.5 6271.49 World
0 0 199 phononTS 0 0 8.06844 24.5006 -0.5 30355.2 30705.8 World
0 0 198 phononTF 0.00343128 0 20.7665 -10.8274 0.5 43994.1 44085.4 World
0 0 201 phononTF 0.00347568 0 20.8323 -29.0184 0.5 39952.4 40124.3 World
0 0 203 phononTS 0 0 9.91362 11.152 0.5 19539.7 19758.9 World
0 0 202 phononTF 0 0 -7.38149 20.7851 -0.5 39631.3 39819.2 World
0 0 211 phononTF 0 0 11.7627 11.1924 0.5 20799.7 21025.4 kid_ind22
0 0 210 phononTF 0.00185337 0 11.488 25.3628 0.5 55444.1 55755.2 World
0 0 208 phononTF 0 0 -2.62076 -0.310953 0.5 4652.26 4826.71 kid_ind38
0 0 206 phononL 0 0 -9.29515 -17.4161 -0.5 10940.8 11101.3 World
0 0 213 phononTF 0 0 5.46164 7.11934 -0.5 27709.9 27992 World
0 0 215 phononL 0 0 -2.06133 5.32557 -0.5 15143.5 15300.3 World
0 0 214 phononTF 0 0 -3.83366 -0.604178 0.5 17821.6 18009.8 World
0 0 233 phononTF 0 0 15.3701 24.1206 -0.5 45044.9 45221.4 World
0 0 232 phononL 0 0 1.61531 4.13893 -0.5 19210 19371.7 World
0 0 230 phononTS 0 0 -5.98001 10.0178 -0.5 28014.3 28989.1 World
0 0 235 phononTF 0 0 -33.7424 0.482378 0.5 15118.6 15596.1 World
0 0 234 phononTS 0 0 3.94629 1.04987 0.5 5595.48 5910.01 World
0 0 226 phononTS 0.00205648 0 -12.7084 21.1314 0.5 62570.1 62904.7 World
0 0 245 phononL 0.00316546 0 -15.5464 30.7922 -0.5 54170.2 54342.8 World
0 0 244 phononTF 0 0 21.8136 3.94589 -0.5 28710.9 28897.5 World
0 0 242 phononL 0 0 -23.8412 13.4929 0.5 26224.1 26239.1 World
0 0 240 phononTS 0 0 -5.34717 4.09692 0.5 20851.7 21493.1 World
0 0 247 phononTF 0 0 0.34153 -0.470422 0.5 1143.41 1165.68 World
0 0 249 phononTS 0 0 -10.7855 -7.81517 0.5 28683.5 28866.2 feed6
0 0 248 phononTS 0 0 -9.63713 -5.87862 0.5 8252.71 8302.25 kid_ind47
0 0 253 phononTS 0 0 -7.23669 -16.4838 0.5 22740.1 22743.1 World
0 0 252 phononTS 0 0 0.883252 4.4784 0.5 7875.95 7937.35 World
0 0 250 phononTF 0 0 -3.52458 -16.4194 -0.5 12330.7 12511.7 World
0 0 261 phononTF 0 0 0.78357 2.66892 -0.5 6745.14 6748.71 World
0 0 260 phononTS 0.00175774 0 -20.3919 25.9632 0.5 52561.8 52696.2 World
0 0 263 phononTS 0 0 -8.04069 -0.438152 0.5 23920.3 23960.2 World
0 0 262 phononTS 0 0 -17.0926 -16.3735 -0.5 26999.6 27185.5 World
0 0 269 phononTS 0.00604413 0 -1.63581 -5.56669 0.5 39200.1 39228.8 feed_kid_right30
0 0 271 phononTS 0 0 5.21326 2.17371 0.5 9837.26 10231.5 World
0 0 270 phononL 0 0 13.2807 -16.0625 -0.5 38482 38634.5 World
0 0 266 phononTS 0 0 -10.5591 5.43926 0.5 39461.3 39481.8 kid_ind27
0 0 264 phononTS 0 0 0.165564 0.203504 -0.5 254.072 284.634 World
0 0 254 phononL 0 0 -0.783465 -0.807618 0.5 929.253 941.834 World
0 0 279 phononL 0 0 15.8747 6.82809 -0.5 47044.2 47210 World
0 0 281 phononL 0 0 27.6546 17.2063 0.5 35790.7 35940.4 World
0 0 280 phononTF 0 0 11.8214 22.3408 -0.5 56597.6 56806 World
0 0 276 phononL 0 0 1.95667 -0.701035 -0.5 12351.9 12593 World
0 0 287 phononL 0 0 10.1649 7.10133 -0.5 51811.1 51954 World
0 0 286 phononTS 0.00297893 0 4.11551 -13.5802 0.5 80950.3 81253.4 World
0 0 284 phononTS 0 0 25.0809 3.04507 0.5 29453.2 29473 feed16
0 0 291 phononTF 0 0 8.4266 -2.35474 0.5 44791.5 45007.7 World
0 0 290 phononTF 0 0 5.48822 -11.7166 0.5 33558.6 33787.1 feed_kid_lower21
0 0 293 phononL 0 0 -7.25069 -7.2663 0.5 13289.4 13443.5 World
0 0 292 phononTS 0 0 -23.1461 -16.0467 0.5 29083 31099.4 kid_cap64
0 0 303 phononTF 0 0 0.172536 0.389427 0.5 1361.65 1367.32 World
0 0 302 phononTS 0.00331694 0 -17.6193 5.15249 -0.5 37125.5 37147.8 World
0 0 300 phononTS 0 0 18.0922 -30.3131 0.5 35671.8 35842.8 feed28
0 0 298 phononTF 0.00320331 0 31.0703 9.75566 0.5 37111.1 37286.8 World
0 0 309 phononTF 0.00196753 0 -33.9661 -6.98515 -0.5 69333.6 69541.7 World
0 0 308 phononTF 0.00141724 0 29.4686 -23.0052 -0.5 81397 81650.4 World
0 0 306 phononTS 0 0 -26.3119 -3.87253 0.5 50984.6 51155.9 World
0 0 311 phononTS 0 0 -1.91611 11.3026 0.5 13840.8 13919.6 kid_cap20
0 0 310 phononTS 0 0 8.12859 14.4754 -0.5 52930.8 53003.1 World
0 0 315 phononTS 0 0 4.26851 -10.8059 -0.5 11897.5 11913.2 World
0 0 317 phononTS 0 0 -3.66697 -24.2143 0.5 76686.9 76901.6 feed8
0 0 316 phononTF 0 0 25.611 3.0772 0.5 85823.8 86233.7 World
0 0 312 phononTF 0 0 3.90076 4.73091 -0.5 14875.9 15054.9 World
0 0 323 phononL 0 0 -0.475979 0.554522 0.5 3387.44 3390.95 World
0 0 327 phononTF 0 0 -4.64175 -3.71787 -0.5 5778.92 5866.76 World
0 0 326 phononTF 0 0 -3.21969 4.95706 0.5 4022.46 4049.51 kid_ind28
0 0 329 phononTF 0 0 -2.11485 -5.60505 0.5 3405.86 3765.39 kid_cap48
0 0 328 phononTS 0 0 0.483354 -3.67554 -0.5 10230.4 10580.2 World
0 0 341 phononTF 0 0 31.0309 10.5152 0.5 26507.6 26576.6 World
0 0 340 phononTF 0 0 25.1378 -16.7717 0.5 38168 38344.5 feed16
0 0 338 phononTS 0 0 -0.574422 -0.847729 0.5 1015.99 1236.11 World
0 0 336 phononL 0.00525423 0 -13.4858 9.27178 -0.5 42657.9 42686.9 World
0 0 349 phononTF 0 0 3.85317 10.6679 0.5 15609.4 15836.8 kid_ind21
0 0 348 phononTF 0.00386213 0 28.2122 11.0207 0.5 47179.4 47409.2 World
0 0 346 phononTS 0.00256631 0 20.412 -30.8429 0.5 53347.7 53640.5 World
0 0 344 phononL 0 0 -24.2779 -11.6679 0.5 15937.3 16095.2 feed_kid_lower17
0 0 342 phononTS 0 0 -11.7724 14.3128 -0.5 14302.1 14500.8 World
0 0 351 phononTS 0 0 9.3207 -5.93378 0.5 14166.6 14358.1 World
0 0 353 phononL 0 0 -3.79233 4.38185 -0.5 35134.1 35324.9 World
0 0 352 phononTF 0 0 1.85997 -2.45321 -0.5 11514.2 11540.7 World
0 0 359 phononTS 0.00206055 0 32.7855 8.49754 -0.5 73741.3 74498.5 World
0 0 358 phononTS 0 0 -8.62808 10.4661 0.5 18056.8 18426.9 World
0 0 356 phononL 0 0 17.8453 -17.8738 0.5 34036.8 34176.6 feed14
0 0 361 phononTS 0 0 -1.47886 2.16466 -0.5 9839.84 9936.09 World
0 0 360 phononTF 0 0 -26.6585 24.1546 0.5 26623.5 26809.2 World
0 0 373 phononTF 0 0 -3.07428 -16.3541 -0.5 10509 10753.8 World
0 0 372 phononTS 0 0 0.242904 -4.82839 0.5 6268.09 6300.41 World
0 0 375 phononTF 0 0 7.03969 -7.06615 0.5 27843.5 27861.1 World
0 0 379 phononTF 0 0 28.8617 6.70533 -0.5 58488.4 58720.4 World
0 0 378 phononTS 0 0 12.5827 11.563 -0.5 52536.9 52825.4 World
0 0 376 phononTS 0 0 -2.17404 7.30241 -0.5 87229.4 87574.7 World
0 0 385 phononTS 0 0 15.107 -0.631858 -0.5 14374.6 14640.1 World
0 0 384 phononTF 0 0 -10.885 -1.97172 0.5 7427.32 7644.19 feed6
0 0 382 phononTF 0 0 0.0973822 -0.155067 -0.5 2396.7 2424.24 World
0 0 387 phononTS 0 0 -10.064 -6.42255 0.5 14460.4 14498.5 World
0 0 386 phononTS 0 0 -10.1173 5.54116 0.5 27664 27967.7 kid_ind27
0 0 391 phononL 0.00169935 0 1.38009 3.11638 0.5 46264.2 46403.9 World
0 0 390 phononTS 0 0 -2.10084 -3.72812 -0.5 6662.93 6669.58 World
0 0 388 phononTS 0 0 -8.93593 -6.10241 0.5 15319.7 15510.4 World
0 0 399 phononTF 0 0 11.8276 6.03426 0.5 13551.2 13772.3 kid_ind30
0 0 398 phononTF 0 0 11.2308 -15.9318 0.5 15988 16059 feed_kid_upper13
0 0 396 phononTS 0 0 1.41697 -3.71246 0.5 4463.1 4667.6 World
0 0 401 phononTF 0 0 -13.7203 8.41624 0.5 21680 21711.7 World
0 0 400 phononTS 0 0 4.12414 -6.15637 0.5 4347.7 4714.57 feed_kid_lower31
0 0 409 phononTF 0 0 10.9547 4.2087 -0.5 8921.7 10508.3 World
0 0 408 phononTS 0 0 -3.57742 6.92903 0.5 23107 23334.4 feed8
0 0 406 phononTS 0 0 17.745 -4.47406 -0.5 25939.3 26051.5 World
0 0 411 phononTS 0 0 -1.21632 3.8969 0.5 23890.3 24120.2 World
0 0 410 phononTS 0 0 -7.05649 7.17636 0.5 10810.2 11165.5 World
0 0 415 phononL 0 0 -0.590961 -1.18929 -0.5 2969.48 3119.86 World
0 0 414 phononL 0 0 3.66825 0.650175 0.5 25817.5 25979.2 feed10
0 0 412 phononTF 0 0 -7.2677 3.1833 0.5 5826.4 6032.84 World
0 0 419 phononTS 0 0 0.46233 0.592627 0.5 1114.82 1163.01 World
0 0 418 phononTF 0 0 -3.78039 -1.5847 -0.5 12997 13172.1 World
0 0 421 phononTS 0 0 -1.07661 -4.66834 0.5 33945.8 34146.7 World
0 0 420 phononTF 0 0 -12.1238 0.487903 -0.5 8419.1 8630.84 World
0 0 431 phononTS 0 0 -0.733137 -4.67427 -0.5 4684.52 4726.52 World
0 0 433 phononTS 0 0 27.9913 -5.5496 0.5 40697.4 40815 World
0 0 435 phononTS 0 0 -2.62944 16.5602 0.5 21286.4 21523.2 kid_ind14
0 0 434 phononTS 0.00173198 0 20.2832 -4.97937 0.5 73555.9 73758.6 World
0 0 441 phononTS 0 0 18.4815 2.70885 -0.5 20201.6 20399.9 World
0 0 440 phononTS 0 0 3.62114 -13.9675 0.5 45379.6 45549.3 feed10
0 0 438 phononL 0 0 -3.66115 2.4727 0.5 4848.94 5030.23 feed8
0 0 443 phononTF 0.00332648 0 -18.7774 26.5451 -0.5 32473.5 32651.7 World
0 0 445 phononTF 0 0 3.49625 -7.34974 0.5 23417.6 23517.9 feed10
0 0 444 phononTS 0 0 3.2929 7.63572 0.5 40339.1 40626.8 World
0 0 449 phononTF 0.0027792 0 24.0103 -14.0811 0.5 52452.9 52632 World
0 0 451 phononTF 0 0 -8.76859 16.6569 0.5 27223.9 27418.8 feed_kid_right63
0 0 450 phononTS 0 0 10.7397 0.967798 0.5 35281 36760.4 feed12
0 0 459 phononTF 0.00234086 0 33.2195 -1.60312 -0.5 81330 81517.7 World
0 0 458 phononL 0.00221359 0 24.6386 20.7613 -0.5 86531.2 86752.2 World
0 0 456 phononTF 0 0 -1.81068 -0.540612 0.5 3690.04 3911.62 kid_cap38
0 0 454 phononTS 0 0 -2.32481 -15.0434 -0.5 13370.2 13603.1 World
0 0 463 phononTS 0 0 -6.22514 3.60936 0.5 30495.2 30507.7 World
0 0 462 phononTS 0 0 -3.02098 33.2968 0.5 19697.4 20013.2 feed9
0 0 467 phononL 0 0 -10.9776 -3.6329 0.5 47052.6 47194.7 World
0 0 466 phononTF 0 0 -3.64712 14.8009 0.5 11954.5 12128.6 feed8
0 0 464 phononTS 0.00336405 0 1.14086 -7.85504 0.5 39415.6 39536.3 World
0 0 475 phononTF 0.00406212 0 -22.3151 -21.7174 -0.5 36285 36652.4 World
0 0 474 phononL 0 0 -4.8696 -13.3344 0.5 28572.5 28712.7 World
0 0 477 phononTS 0 0 -1.87761 -11.2466 0.5 23257.2 23436.3 kid_cap58
0 0 476 phononTS 0 0 -1.11391 -0.296144 -0.5 655.454 714.47 World
0 0 481 phononTF 0 0 -14.2918 -1.48845 -0.5 21148.9 21235.8 World
0 0 483 phononTF 0 0 5.38327 -5.56606 0.5 38779.6 38992.6 kid_cap49
0 0 482 phononTF 0 0 11.7681 -11.2237 0.5 26755.1 26950.6 kid_ind60
0 0 485 phononTS 0 0 -1.7504 5.49534 -0.5 5683.46 5890.85 World
0 0 484 phononTS 0 0 -0.00660626 4.97465 0.5 17403.5 17421.9 World
0 0 491 phononTS 0 0 8.91945 -6.24092 0.5 18437.4 18464 World
0 0 490 phononTF 0 0 14.6835 -14.8923 -0.5 27914 28234.1 World
0 0 493 phononL 0 0 3.71033 1.63692 0.5 14880.9 15037.9 feed10
0 0 492 phononL 0 0 3.76641 -6.44673 0.5 15967.3 16107.8 World
0 0 497 phononTF 0 0 13.2661 12.5618 -0.5 41407.4 41596.1 World
0 0 496 phononTS 0 0 0.767197 -1.12009 0.5 6080.85 6239.74 World
0 0 494 phononTF 0.00321076 0 11.6189 -29.3986 0.5 36625.5 36832.1 World
0 0 507 phononTS 0.00514399 0 -4.54276 -10.1091 -0.5 40369.1 40499.8 World
0 0 509 phononTF 0 0 2.44443 2.43241 0.5 12455.1 12615.9 World
0 0 508 phononTS 0 0 2.53913 -4.73302 -0.5 13760.6 14015.2 World
0 0 511 phononL 0 0 3.56898 -3.48894 0.5 14920.4 15034.6 feed10
0 0 510 phononTF 0 0 2.44492 -1.70092 0.5 6338.8 6351.11 World
0 0 513 phononTS 0.00289792 0 13.7818 0.0516047 0.5 56809.3 56933.3 World
0 0 512 phononL 0 0 0.327538 -0.716853 -0.5 290.837 355.501 World
0 0 519 phononTS 0.00424091 0 13.5015 7.42625 -0.5 36101.3 36456.3 World
0 0 521 phononTF 0.00322002 0 10.2764 -26.5299 -0.5 70779.1 70989 World
0 0 523 phononL 0 0 8.65898 1.52706 -0.5 27677.4 27910.4 World
0 0 522 phononTS 0 0 2.55789 1.7779 0.5 28807.3 29145.3 World
0 0 516 phononL 0 0 -0.306958 1.09901 0.5 9211.09 9334.32 World
0 0 514 phononTF 0 0 -0.666602 -2.37453 -0.5 3894.2 3897.44 World
0 0 531 phononTS 0 0 2.94689 -12.8444 0.5 30526.1 30548.9 World
0 0 530 phononTS 0 0 -4.1132 -3.217 0.5 13384.7 14240.6 World
0 0 528 phononTS 0 0 -16.4137 -31.4775 -0.5 27021.1 27938.3 World
0 0 533 phononL 0 0 7.75669 7.17959 0.5 40941.8 41116.1 World
0 0 532 phononTS 0 0 12.3657 -5.38013 0.5 28400.3 28551.9 kid_cap50
0 0 541 phononTS 0 0 12.6378 0.155397 0.5 16266.9 16657.1 feed_kid_right42
0 0 540 phononTF 0 0 -3.73824 13.7607 -0.5 16237.8 16403.2 World
0 0 538 phononTF 0 0 -24.2683 6.18646 0.5 35586.5 35870.6 feed_kid_upper47
0 0 536 phononL 0 0 -2.40541 1.26361 0.5 4286.8 4410.62 World
0 0 543 phononTS 0 0 5.29024 -0.33601 0.5 21972.6 22034.4 kid_cap39
0 0 542 phononTS 0 0 -2.35821 -10.8778 0.5 16069.5 16079 kid_ind58
